Tag ID,EventID,Type,Start-Ping,Seconds,UTCMilliseconds,f1,f2,snr,RMS,ZeroPeak,PeakPeak,SEL,file_name,sec_since_file_start,sampling_rate,samp_since_file_start,sec_since_tagon,file_start_time,tagon_time,correction
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:32:57,0.67,671,11713.86,12329.34,4.22,54.23,67.63,73.65,52.52,Zica-20191012-144029005,9871.67,96000,947680416,82138.91,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:35:37,0.56,748,11694.01,12408.75,-0.25,51.94,66.75,72.77,49.46,Zica-20191012-144029005,10030.74,96000,962951808,82297.99,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:35:39,0.49,573,11694.01,12309.48,1.77,51.7,68.71,74.72,48.62,Zica-20191012-144029005,10033.57,96000,963223008,82300.82,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:35:45,0.65,731,11674.16,12428.61,2.27,55.13,78.09,84.1,53.3,Zica-20191012-144029005,10038.73,96000,963718176,82305.97,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:35:47,0.56,574,11574.89,12388.9,0.64,53.42,76.53,82.55,50.94,Zica-20191012-144029005,10041.57,96000,963991104,82308.82,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:35:53,0.61,823,11634.45,12249.92,2.64,51.21,68.13,74.15,49.13,Zica-20191012-144029005,10046.82,96000,964495008,82314.07,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:35:55,0.67,594,11694.01,12329.34,2.4,51,64.97,70.98,49.29,Zica-20191012-144029005,10049.59,96000,964761024,82316.84,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:01,0.6,876,11733.72,12388.9,1.6,50.42,61.31,67.33,48.21,Zica-20191012-144029005,10054.87,96000,965268096,82322.12,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:03,0.61,646,11674.16,12349.19,1.93,52.68,72.79,78.81,50.6,Zica-20191012-144029005,10057.64,96000,965534016,82324.89,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:09,0.52,114,11574.89,12369.05,1.79,52.77,72.98,78.99,49.99,Zica-20191012-144029005,10063.11,96000,966058944,82330.36,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:12,0.49,866,11495.47,12289.63,0.76,51.13,62.42,68.44,48.05,Zica-20191012-144029005,10065.86,96000,966323136,82333.11,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:17,0.52,279,11594.74,12349.19,1.27,51.99,65.96,71.98,49.22,Zica-20191012-144029005,10071.27,96000,966842784,82338.52,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:20,0.56,867,11574.89,12369.05,2.16,51.76,63.3,69.31,49.28,Zica-20191012-144029005,10073.86,96000,967091232,82341.11,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:25,0.52,280,11694.01,12408.75,2.07,51.42,62.6,68.62,48.65,Zica-20191012-144029005,10079.28,96000,967610880,82346.52,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:28,0.54,142,11654.3,12508.02,1.54,52.26,64.37,70.39,49.63,Zica-20191012-144029005,10082.14,96000,967885632,82349.39,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:33,0.72,154,11674.16,12388.9,,,,,,Zica-20191012-144029005,10087.15,96000,968366784,82354.4,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:36,0.71,106,11495.47,12408.75,1.38,51.96,65.41,71.43,50.47,Zica-20191012-144029005,10090.1,96000,968650176,82357.35,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:44,0.47,243,11555.03,12468.32,1.81,51.94,64.19,70.21,48.69,Zica-20191012-144029005,10098.24,96000,969431328,82365.49,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:36:49,0.58,557,11634.45,12408.75,1.19,50.35,62.34,68.36,48.01,Zica-20191012-144029005,10103.55,96000,969941472,82370.8,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
