TagID,tagon_time,Type,EventID,start_time,sec_since_tagon,duration,BB_RMS,SPL_rms_fc_1000,SPL_rms_fc_1250,SPL_rms_fc_1600,SPL_rms_fc_2000,SPL_rms_fc_2500,SPL_rms_fc_3150,SPL_rms_fc_4000,SPL_rms_fc_5000,SPL_rms_fc_6300,SPL_rms_fc_8000
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:23:46Z,99576.78,0.91,110.35673974735562,NA,NA,NA,NA,84.4682667091914,109.90003474653,100.197793507743,77.5393074318689,75.3189170908542,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:24:11Z,99601.23,1.04,107.65773471463885,NA,NA,NA,NA,82.0470689065444,107.239674849403,97.0858830760338,77.7200006530016,73.0886528998596,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:24:36Z,99626.11,0.62,106.99102917848727,NA,NA,NA,NA,82.4914787099207,106.661804401221,95.4081406224322,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:25:49Z,99699.54,0.8,119.9944942141701,101.810260213235,102.117140872816,105.118624687562,111.277390347659,116.465793261071,110.973515498371,108.691818107193,108.533685252625,106.060867898384,106.680959915989
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:26:38Z,99748.59,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:27:02Z,99772.77,0.91,108.80586568232278,NA,NA,NA,NA,NA,108.45437238216,97.7126316957435,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:27:27Z,99797.2,1.28,107.4510902671883,NA,NA,NA,NA,81.1214514688741,106.925171725043,97.8293314079371,81.6408130323548,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:27:51Z,99821.69,1.15,107.37010491694417,NA,NA,NA,NA,82.8729280624211,106.914586751766,97.1358698631674,75.8235767983773,74.9548844466053,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:28:16Z,99846.16,1.04,107.70194165279703,NA,NA,NA,NA,81.9479590595215,107.183261244969,98.0294952706635,77.1612356847254,78.4910468906875,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:28:40Z,99870.66,0.95,109.18415450172908,NA,NA,NA,NA,82.9088357169183,108.684434014081,99.4070709111935,77.6388681124826,74.8267259298042,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:29:05Z,99895.17,0.98,110.12524206481592,NA,NA,NA,NA,83.9778992768902,109.647896786088,100.165132393457,78.7994474073651,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:29:29Z,99919.68,1,107.91102405582325,NA,NA,NA,NA,82.9256444541568,107.496685869762,97.2748236667332,77.7570553156203,74.7567026119292,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:29:54Z,99944.17,0.87,107.48027697469905,NA,NA,NA,NA,83.1755513598209,107.157738890367,95.7201909665768,76.049944876634,74.1668833029165,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:30:18Z,99968.6,0.91,106.39441673527102,NA,NA,NA,NA,82.0371869054013,106.082628384195,94.5102700029681,75.464261826061,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:30:43Z,99993.15,0.97,103.60801999298795,NA,NA,NA,NA,79.5978789079761,103.060185597219,94.0629201049853,76.7360254832827,75.198428037597,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:31:07Z,100017.65,1,113.65219520176821,NA,NA,NA,75.0953363471053,89.6694299514645,113.444252775461,99.8972952046487,79.3936933948921,74.4003559018478,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:31:32Z,100042.11,0.98,109.42138335416472,NA,NA,NA,NA,85.1887491758283,109.116293757223,97.4208049253642,79.3247581235806,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:31:56Z,100066.54,0.93,109.03072203332414,NA,NA,NA,NA,84.4115561188846,108.689463609885,97.5621622087059,78.1085101427216,NA,NA
